,image_name,text_default,text_psm7
0,00000.jpg,_,ใน
1,00000.jpg,_,สมัย
2,00000.jpg,หนึ่ง,หนึ่ง
3,00000.jpg,_,๓
4,00000.jpg,พระพุทธเจ้า,พระพุทธเจ้า
5,00000.jpg,ประทับ,ประทับ
6,00000.jpg,อยู่,อยู่
7,00000.jpg,วัด,วัด
8,00000.jpg,เชตวัน,เชตวัน
9,00000.jpg,_,_
10,00000.jpg,เมือง,เมือง
11,00000.jpg,สาวัตถี,สาวัตถี
12,00000.jpg,ทรง,ทรง
13,00000.jpg,ปรารภ,ปรารภ
14,00001.jpg,พระ,พระ
15,00001.jpg,โกกาลิกะ,โกกาลิกะ
16,00001.jpg,_,ผู้
17,00001.jpg,ขอบ,ขอบ
18,00001.jpg,หลอกลวง,หลอกลวง
19,00001.jpg,_,ผู้ธ่น
20,00001.jpg,_,_
21,00001.jpg,_,ได้
22,00001.jpg,ครัส,ครัส
23,00001.jpg,_,จดีต
24,00001.jpg,นิทาน,นิทาน
25,00001.jpg,มา,มา
26,00001.jpg,สารก,สารก
27,00001.jpg,_,_
28,00002.jpg,วา,วา
29,00002.jpg,_,_
30,00002.jpg,กาลครั้งหนึ่งนานมาแล้ว,กาลครั้งหนึ่งนานมาแล้ว
31,00002.jpg,_,_
32,00002.jpg,พระโหธิสัตว์,พระโหธิสัตว์
33,00002.jpg,_,เกิด
34,00002.jpg,เป็น,เป็น
35,00002.jpg,ขาย,ขาย
36,00002.jpg,ขาวนา,ขาวนา
37,00002.jpg,คน,คน
38,00002.jpg,หนึ่ง,หนึ่ง
39,00002.jpg,_,_
40,00002.jpg,อาศัย,อาศัย
41,00002.jpg,_,_
42,00003.jpg,_,อยู
43,00003.jpg,_,ใน
44,00003.jpg,หมู่บ้าน,หมู่บ้าน
45,00003.jpg,_,แห่ง
46,00003.jpg,_,หนึ่ง
47,00003.jpg,_,ซ๊
48,00003.jpg,_,มื
49,00003.jpg,พ่อค้า,พ่อค้า
50,00003.jpg,คน,คน
51,00003.jpg,หนึ่ง,หนึ่ง
52,00003.jpg,ที่เที่ยว,เที่ยว
53,00003.jpg,ค้าขาย,ค้าขาย
54,00003.jpg,ด้วย,ด้วย
55,00003.jpg,การ,การ
56,00004.jpg,บรรทุก,บรรทุก
57,00004.jpg,สินค้า,สินค้า
58,00004.jpg,บน,บน
59,00004.jpg,หลังลา,หลังลา
60,00004.jpg,_,_
61,00004.jpg,ไป,ไป
62,00004.jpg,_,ถึง
63,00004.jpg,หมู่บ้าน,หมู่บ้าน
64,00004.jpg,_,หนึ่ง
65,00004.jpg,แล้ว,แล้ว
66,00004.jpg,_,ก็
67,00004.jpg,จะ,จะ
68,00004.jpg,เอา,เอา
69,00004.jpg,หนัง,หนัง
70,00005.jpg,ราชสีห์,ราชสีห์
71,00005.jpg,คลุม,คลุม
72,00005.jpg,_,หลัง
73,00005.jpg,ลา,ลา
74,00005.jpg,_,_
75,00005.jpg,ปล่อย,ปล่อย
76,00005.jpg,ไป,ไป
77,00005.jpg,กิน,กิน
78,00005.jpg,ข่าวสาถี,ข้าวสาลี
79,00005.jpg,และ,และ
80,00005.jpg,ขาวเหนียว,ข้าวเหนียว
81,00005.jpg,ของ,ของ
82,00005.jpg,ขาวบ้าน,ขาวบ้าน
83,00005.jpg,_,_
84,00006.jpg,ส่วน,ส่วน
85,00006.jpg,ตนเอง,ตนเอง
86,00006.jpg,_,ก็
87,00006.jpg,จะ,จะ
88,00006.jpg,แบก,แบก
89,00006.jpg,สินค้า,สินค้า
90,00006.jpg,_,ขาย
91,00006.jpg,_,ใน
92,00006.jpg,หมู่บ้าน,หมู่บ้าน
93,00006.jpg,นั้น,นั้น
94,00006.jpg,_,_
95,00006.jpg,ขาวนา,ขาวนา
96,00006.jpg,เห็น,เห็น
97,00006.jpg,ลา,ลา
98,00007.jpg,_,กิน
99,00007.jpg,ข้าว,ข้าว
100,00007.jpg,_,ก็
101,00007.jpg,_,ไม
102,00007.jpg,กล้า,กล้า
103,00007.jpg,เข้า,เข้า
104,00007.jpg,ไป,ไป
105,00007.jpg,_,ไล่
106,00007.jpg,เพราะ,เพราะ
107,00007.jpg,นึก,นึก
108,00007.jpg,_,ว่า
109,00007.jpg,เป็น,เป็น
110,00007.jpg,ราชสีห์,ราชสีห์
111,00007.jpg,_,_
112,00008.jpg,_,_
113,00008.jpg,มา,มา
114,00008.jpg,วัน,วัน
115,00008.jpg,หนึ่ง,หนึ่ง
116,00008.jpg,_,_
117,00008.jpg,พ่อค้า,พ่อค้า
118,00008.jpg,นั้น,นั้น
119,00008.jpg,ไป,ไป
120,00008.jpg,ขาย,ขาย
121,00008.jpg,สิ่งของ,สิ่งของ
122,00008.jpg,_,ถึง
123,00008.jpg,_,หมู่บ้าน
124,00008.jpg,หัน,หัน
125,00008.jpg,แล้ว,แล้ว
126,00009.jpg,_,ก็
127,00009.jpg,ทํา,ทํา
128,00009.jpg,โดย,โดย
129,00009.jpg,ทํานนอง,ทํานนอง
130,00009.jpg,_,นั้น
131,00009.jpg,อีก,อีก
132,00009.jpg,_,_
133,00009.jpg,ลา,ลา
134,00009.jpg,ได้,ได้
135,00009.jpg,ลง,ลง
136,00009.jpg,_,ไป
137,00009.jpg,_,กิน
138,00009.jpg,ข้าวกล้า,ข้าวกล้า
139,00009.jpg,ของ,ของ
140,00010.jpg,ขาวนา,ขาวนา
141,00010.jpg,_,_
142,00010.jpg,ขาวนบา,ขาวนบา
143,00010.jpg,_,เห็น
144,00010.jpg,ถา,ถา
145,00010.jpg,นั้น,นั้น
146,00010.jpg,แล้ว,แล้ว
147,00010.jpg,_,ก็
148,00010.jpg,_,ไม่
149,00010.jpg,กล้า,กล้า
150,00010.jpg,เข้า,เข้า
151,00010.jpg,ไป,ไป
152,00010.jpg,ไล่,ไล่
153,00010.jpg,เพราะ,เพราะ
154,00011.jpg,นึก,นึก
